"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.135282123E1,6.495598736E1,2.553061727E1,8.445985558E0,1.515840217E0,1.778667367E2,4.721039984E0,3.396515642E0
4.235874426E1,6.495597518E1,2.553060910E1,8.488870204E0,1.267260161E0,1.831488484E2,4.722614316E0,3.394326304E0
4.335285866E1,6.495596683E1,2.553060540E1,8.020144144E0,8.913637814E-1,1.699543963E2,4.725879628E0,3.389778574E0
4.435771871E1,6.495594945E1,2.553059972E1,8.422181050E0,1.378532928E0,1.752269268E2,4.724897534E0,3.391147346E0
4.535681629E1,6.495594017E1,2.553061638E1,8.194225945E0,1.014014726E0,1.730192916E2,4.731425841E0,3.382032901E0
4.635352743E1,6.495592310E1,2.553064597E1,8.118408844E0,1.743052623E0,1.561884882E2,4.738890554E0,3.371565415E0
4.735454750E1,6.495591239E1,2.553063478E1,8.163130024E0,1.503451233E0,1.961704476E2,4.736047493E0,3.375557906E0
4.834615815E1,6.495590276E1,2.553064516E1,7.887137434E0,1.443802274E0,1.875252811E2,4.736493315E0,3.374932312E0
4.934958816E1,6.495588874E1,2.553066297E1,7.455883837E0,1.469704869E0,1.810614259E2,4.734654314E0,3.377511741E0
5.035735428E1,6.495587717E1,2.553067639E1,7.389125093E0,1.250525369E0,1.772667208E2,4.734931626E0,3.377122967E0
5.135437310E1,6.495586340E1,2.553066451E1,7.176441669E0,1.239789199E0,1.992462533E2,4.735031313E0,3.376983195E0
5.235799980E1,6.495584545E1,2.553067743E1,6.830934879E0,1.376302568E0,1.736536676E2,4.734431796E0,3.377823649E0
5.335701799E1,6.495583315E1,2.553066909E1,5.910956415E0,1.177952738E0,1.893045355E2,4.734153481E0,3.378213707E0
5.435636628E1,6.495581922E1,2.553065993E1,5.860919990E0,1.088410094E0,1.894370256E2,4.734909736E0,3.377153658E0
5.535176599E1,6.495580364E1,2.553064897E1,5.300965590E0,1.125516471E0,1.889767189E2,4.735914594E0,3.375744361E0
5.635578716E1,6.495578931E1,2.553064982E1,4.989135688E0,1.225330903E0,1.822561315E2,4.736972492E0,3.374259717E0
5.735378456E1,6.495578120E1,2.553064438E1,4.559828138E0,8.986274005E-1,1.903475702E2,4.738672959E0,3.371871235E0
5.835405815E1,6.495577608E1,2.553062927E1,4.043929853E0,8.660278880E-1,1.924548846E2,4.741918937E0,3.367304832E0
5.935236061E1,6.495576285E1,2.553063503E1,4.078188011E0,1.190174878E0,1.760979098E2,4.741477647E0,3.367926181E0
6.035732043E1,6.495574893E1,2.553064230E1,3.946212587E0,1.419734497E0,1.785617488E2,4.741303283E0,3.368171642E0
6.135508704E1,6.495573438E1,2.553064674E1,4.345380385E0,1.423223209E0,1.763733507E2,4.741182737E0,3.368341326E0
6.235175788E1,6.495572514E1,2.553063607E1,3.668722622E0,1.338463832E0,1.797247392E2,4.741813254E0,3.367453651E0
6.335654068E1,6.495571612E1,2.553062820E1,3.301159283E0,1.250949489E0,1.760464308E2,4.742504533E0,3.366480029E0
6.435667646E1,6.495570414E1,2.553062211E1,3.673202796E0,1.275963084E0,1.853753075E2,4.743310267E0,3.365344669E0
6.535830164E1,6.495569233E1,2.553062395E1,3.466080923E0,1.327903982E0,1.796030732E2,4.744109625E0,3.364217724E0
6.635485363E1,6.495567980E1,2.553061381E1,3.411652289E0,1.451715932E0,1.837762976E2,4.741043864E0,3.368536791E0
6.735709405E1,6.495566884E1,2.553059805E1,3.417333498E0,1.395398831E0,1.980532314E2,4.744553131E0,3.363592220E0
6.835634494E1,6.495565647E1,2.553059073E1,3.073305450E0,1.469933236E0,2.051783170E2,4.741727394E0,3.367574550E0
6.935763741E1,6.495565003E1,2.553057429E1,2.923648871E0,1.160356865E0,2.105909746E2,4.744959700E0,3.363018656E0
7.035794616E1,6.495564624E1,2.553054104E1,3.079343796E0,1.188467766E0,2.419491861E2,4.747087647E0,3.360014272E0
7.135850310E1,6.495564463E1,2.553050930E1,2.779751177E0,1.222541645E0,2.506365867E2,4.750249225E0,3.355543075E0
7.234748256E1,6.495564542E1,2.553046718E1,2.871276541E0,1.399905580E0,2.610213908E2,4.752478611E0,3.352384835E0
7.334700215E1,6.495564777E1,2.553042139E1,2.023869582E0,1.676228387E0,2.755433416E2,4.753736223E0,3.350601282E0
7.435301173E1,6.495565413E1,2.553040807E1,2.689058120E0,1.494716260E0,2.713719927E2,4.731697739E0,3.381652487E0
7.535222089E1,6.495565857E1,2.553037477E1,3.691281748E0,1.498199491E0,2.779663632E2,4.733185127E0,3.379570326E0
