"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.093338547E2,6.495684952E1,2.552887161E1,1.011725781E1,1.065858956E0,2.855016116E2,4.876582133E0,3.169145585E0
2.103338675E2,6.495688881E1,2.552887761E1,1.032930641E1,1.059101990E0,3.258981084E2,4.863544140E0,3.189118284E0
2.113338791E2,6.495690620E1,2.552890493E1,1.016159758E1,9.309501384E-1,3.542199379E2,4.879879274E0,3.164066260E0
2.123338913E2,6.495689296E1,2.552886193E1,9.844326420E0,6.514364334E-1,3.177346858E2,4.918323270E0,3.103970561E0
2.133339030E2,6.495689878E1,2.552886407E1,1.031248401E1,4.840754181E-1,3.359094839E2,5.009361383E0,2.954798735E0
2.143339152E2,6.495691471E1,2.552884318E1,1.038606761E1,7.971448732E-1,3.352069131E2,5.119339028E0,2.759874081E0
2.153339263E2,6.495694467E1,2.552886494E1,1.023992222E1,1.190419505E0,3.568957789E2,5.358159133E0,2.661022420E0
2.163339375E2,6.495697131E1,2.552885550E1,9.938086594E0,1.575654041E0,3.544672087E2,6.111202047E0,2.397504367E0
2.173339496E2,6.495699210E1,2.552886436E1,9.995220604E0,1.585244077E0,1.350713716E-1,6.586833882E0,2.399773256E0
2.183339607E2,6.495701213E1,2.552888017E1,9.884742121E0,1.639372241E0,4.577846361E0,7.982321634E0,2.440327371E0
2.193339713E2,6.495692965E1,2.552873882E1,9.904872243E0,1.030903339E0,2.536600774E2,7.452295461E0,2.480902520E0
2.203339828E2,6.495693515E1,2.552871626E1,1.040071246E1,1.071066062E0,2.638999598E2,8.953582337E0,2.520614054E0
2.213339950E2,6.495693687E1,2.552869273E1,1.027977105E1,1.096585623E0,2.677124120E2,1.067818270E1,2.560944077E0
2.223340051E2,6.495693619E1,2.552866956E1,1.019360275E1,1.096201285E0,2.674034844E2,1.265583613E1,2.601646924E0
2.233340166E2,6.495693538E1,2.552864587E1,1.012471496E1,1.099184615E0,2.670530387E2,1.484132495E1,2.639267373E0
2.243340279E2,6.495693479E1,2.552862272E1,9.845022107E0,1.098954788E0,2.669960328E2,1.719625570E1,2.678819266E0
2.253340380E2,6.495693198E1,2.552857385E1,1.004538498E1,1.284047748E0,2.662389898E2,1.962765307E1,2.716912798E0
2.263340493E2,6.495694197E1,2.552850067E1,9.991779174E0,1.621616386E0,2.712408050E2,1.781206417E1,2.754206494E0
2.273340597E2,6.495695527E1,2.552848280E1,1.012409643E1,1.459383590E0,2.775325985E2,1.855669857E1,2.791557770E0
