"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.468786249E-1,-1.306544989E0,-1.299548357E0,9.626124948E-1
7.568726249E-1,-1.264154283E0,-1.145319273E0,1.338498414E0
7.668656248E-1,-7.567824639E-1,-1.254802539E0,1.586801596E0
7.768550832E-1,-3.117390400E-1,-1.518545879E0,1.388308505E0
7.868490831E-1,-2.093276891E-1,-1.724799979E0,1.068322552E0
7.968420833E-1,-3.240249172E-1,-1.756298929E0,6.068076682E-1
8.068350833E-1,-5.375690335E-1,-1.715049162E0,1.921225494E-1
8.168290833E-1,-6.906033848E-1,-1.548194185E0,-1.577625561E-1
8.268220832E-1,-6.180673590E-1,-1.326736740E0,-2.131818813E-1
8.368150832E-1,-3.704813379E-1,-1.061678946E0,7.264229894E-2
8.468090831E-1,-1.912711948E-2,-8.939556581E-1,4.349053752E-1
8.568020833E-1,4.302090378E-1,-8.806941730E-1,6.241160113E-1
8.667960833E-1,8.233424892E-1,-8.861040169E-1,5.749806887E-1
8.767890832E-1,9.155016245E-1,-7.818809062E-1,4.540169996E-1
8.867820832E-1,6.457119714E-1,-6.899936664E-1,4.825022954E-1
8.967760832E-1,3.919919287E-1,-6.815643203E-1,7.852103108E-1
9.067690833E-1,4.718040834E-1,-7.896565336E-1,1.253434290E0
9.167620833E-1,6.971775556E-1,-1.038300608E0,1.717478095E0
9.267560833E-1,9.061941728E-1,-1.296183284E0,1.700303653E0
9.367490832E-1,8.733749208E-1,-1.498743698E0,1.337936497E0
9.467420832E-1,6.571975109E-1,-1.538834547E0,7.868925548E-1
9.567360831E-1,4.891254365E-1,-1.471627235E0,8.852041304E-2
9.667290833E-1,3.494483185E-1,-1.269204816E0,-4.497368377E-1
9.767220833E-1,3.531788421E-1,-8.547459841E-1,-7.636492878E-1
9.867160833E-1,6.623217183E-1,-4.363724416E-1,-1.051739264E0
9.967090832E-1,6.695656876E-1,-1.323306763E-1,-1.092195565E0
1.006703083E0,8.602191241E-1,1.816788375E-2,-1.078537053E0
1.016696083E0,1.105529409E0,-3.352501094E-2,-7.817434967E-1
1.026689083E0,1.254906327E0,-1.177067900E-1,-2.272532058E-1
1.036683083E0,1.312101013E0,-2.765633601E-1,2.656220502E-1
1.046676083E0,1.269219580E0,-5.020664942E-1,6.581356966E-1
1.056669083E0,1.115755166E0,-5.633108157E-1,9.302399701E-1
1.066663083E0,8.440352006E-1,-4.976261187E-1,7.786123127E-1
1.076656083E0,5.806533650E-1,-4.818327892E-1,1.674005216E-1
1.086649083E0,4.193719545E-1,-3.483116198E-1,-3.940502948E-1
1.096643083E0,3.448253636E-1,-1.752533323E-1,-7.036282039E-1
1.106636083E0,3.696212125E-1,-6.597121060E-2,-7.911867499E-1
1.116629083E0,4.026658747E-1,1.104188204E-2,-6.480743927E-1
1.126623083E0,3.395264706E-1,9.745086551E-2,-3.166407609E-1
1.136616083E0,3.543336672E-1,7.784982920E-2,6.520814896E-2
1.146609083E0,5.053736794E-1,-8.293573737E-2,3.608264154E-1
1.156603083E0,6.287015440E-1,-1.626180840E-1,4.735303277E-1
1.166596083E0,5.120472528E-1,-1.997309464E-1,4.452490997E-1
1.176589083E0,2.869265266E-1,-1.001195347E-1,2.706927556E-1
1.186583083E0,1.947733846E-1,1.719607651E-2,3.974235535E-2
1.196576083E0,1.663174711E-1,4.704786658E-2,-1.651990449E-1
1.206570083E0,1.216799730E-1,2.831151652E-1,-2.571114278E-1
1.216563083E0,5.746541217E-2,6.810234529E-1,-8.340059102E-2
1.226556083E0,1.108484446E-1,9.246991485E-1,2.410795319E-1
1.236550083E0,3.698163633E-1,9.650963920E-1,5.016139197E-1
1.246543083E0,6.122319840E-1,8.682729328E-1,5.869645572E-1
1.256536083E0,6.629644735E-1,7.052016896E-1,5.819260114E-1
1.266530083E0,4.852346992E-1,5.485904503E-1,4.077257627E-1
1.276523083E0,1.584390789E-1,4.781028503E-1,1.121034032E-1
1.286516083E0,-3.602177203E-2,3.308623588E-1,-2.096881700E-1
1.296510083E0,-8.562823400E-2,8.811403155E-2,-5.131189013E-1
1.306503083E0,-2.183936508E-1,-6.577474415E-2,-7.113740104E-1
1.316496083E0,-4.644288442E-1,-2.083070576E-2,-7.934151238E-1
1.326490083E0,-8.205942978E-1,1.900725156E-1,-7.144379514E-1
1.336483083E0,-1.099375799E0,5.450867987E-1,-3.825400507E-1
1.346477083E0,-1.011686275E0,7.670856965E-1,1.608703512E-1
1.356470083E0,-6.708862813E-1,7.749788529E-1,7.203471476E-1
1.366463083E0,-3.259884122E-1,7.076516730E-1,1.036207890E0
1.376457083E0,-5.587029174E-2,6.618738216E-1,1.051585482E0
1.386450083E0,4.332128987E-2,6.276816434E-1,8.141189450E-1
1.396443083E0,9.289398417E-2,6.662703431E-1,3.863729006E-1
1.406437083E0,2.001927303E-1,6.988580453E-1,-6.841768563E-2
1.416430083E0,3.051379721E-1,6.974377567E-1,-2.987781018E-1
1.426423083E0,2.156121303E-1,7.586797392E-1,-1.741505474E-1
1.436417083E0,3.694051579E-2,6.909444237E-1,3.362955916E-1
1.446410083E0,5.455744565E-3,3.493074006E-1,7.978823966E-1
1.456403083E0,6.075637132E-2,-1.957016301E-1,1.114427848E0
1.466397083E0,2.280998826E-3,-7.099502134E-1,1.238881740E0
1.476390083E0,-1.875093886E-1,-1.072826663E0,1.326974722E0
1.486383083E0,-3.319359076E-1,-1.187498748E0,1.450307702E0
1.496377083E0,-3.267396332E-1,-1.171519477E0,1.328971546E0
1.506370083E0,-3.092501727E-1,-1.168864256E0,1.029425120E0
1.516363083E0,-3.311115964E-1,-1.092496696E0,6.669375104E-1
1.526357083E0,-3.130896007E-1,-9.178807104E-1,3.430830395E-1
1.536350083E0,-1.870533058E-1,-7.615477985E-1,2.093244731E-2
1.546344083E0,5.072167218E-3,-6.362799740E-1,-4.869034946E-2
1.556337083E0,7.116646171E-3,-4.458040005E-1,2.284682572E-2
1.566330083E0,-3.953697190E-2,-3.764957839E-1,9.382793069E-2
1.576324083E0,8.824091613E-2,-5.539891845E-1,1.557493597E-1
1.586317083E0,1.525140953E-1,-7.514625210E-1,3.295356256E-1
1.596310083E0,1.232702695E-1,-8.501898336E-1,5.698450792E-1
1.606304083E0,7.813517332E-2,-9.112014359E-1,7.746233422E-1
1.616297083E0,9.454669967E-2,-8.352326560E-1,8.959448808E-1
1.626290083E0,1.965819284E-2,-7.173785162E-1,9.344236529E-1
1.636284083E0,-8.548877791E-2,-5.898524970E-1,8.173232192E-1
1.646277083E0,-2.279629116E-1,-5.714799607E-1,5.381876689E-1
1.656270083E0,-3.542317794E-1,-6.244937414E-1,2.220193630E-1
1.666264083E0,-4.123479867E-1,-6.031625140E-1,-2.259948850E-2
1.676257083E0,-4.469835301E-1,-5.120623094E-1,-1.700832242E-1
1.686250083E0,-5.492008996E-1,-4.804212713E-1,-1.385258013E-1
1.696244083E0,-6.578347112E-1,-5.361703795E-1,-9.266433477E-2
1.706237083E0,-6.574666290E-1,-6.588788778E-1,-6.073678315E-2
1.716230083E0,-6.163852613E-1,-7.576056057E-1,7.247448385E-2
1.726224083E0,-5.789341374E-1,-7.916100883E-1,1.464622271E-1
1.736217083E0,-5.516289559E-1,-7.614706153E-1,1.460078984E-1
1.746211083E0,-4.777910475E-1,-7.463503003E-1,5.233667314E-2
1.756204083E0,-3.625538291E-1,-6.833798808E-1,-1.428597575E-1
1.766197083E0,-2.899214704E-1,-6.118046987E-1,-3.824903494E-1
1.776191083E0,-2.511208092E-1,-5.026482922E-1,-5.015595406E-1
1.786184083E0,-1.644090861E-1,-3.755111128E-1,-4.083391356E-1
1.796177083E0,-6.118365660E-2,-3.256940049E-1,-2.801430255E-1
1.806171083E0,-6.887362227E-2,-2.499012262E-1,-2.056319565E-1
1.816164083E0,-9.738318399E-2,-2.626890868E-1,-4.126964808E-3
1.826157083E0,-6.517335802E-2,-2.611536080E-1,3.414621913E-1
1.836151083E0,4.088782489E-2,-1.977078098E-1,7.513847530E-1
1.846144083E0,2.858616024E-2,-2.078889817E-1,9.136321235E-1
1.856137083E0,-2.597055450E-2,-3.125915641E-1,9.001361650E-1
1.866131083E0,-1.826085448E-2,-4.753160673E-1,-2.145413589E-1
1.876124083E0,-3.773816371E-1,-4.358064312E-1,-2.148782755E0
1.886117083E0,-3.690623648E-1,-2.369373643E-1,-1.712271150E0
1.896111083E0,3.435155873E-1,-6.651617110E-2,-3.115799958E-1
1.906104083E0,5.770634669E-1,-7.094426751E-3,3.787358522E-1
1.916097083E0,3.162497284E-1,1.745195067E-1,3.988339019E-1
1.926091083E0,1.379154982E-1,3.197965032E-1,3.145106202E-1
1.936084083E0,1.601289243E-1,2.389096302E-1,2.043976092E-1
1.946077083E0,2.418054637E-1,1.086956459E-1,-5.953810394E-2
1.956071083E0,2.331125544E-1,-3.777301311E-4,-3.380626202E-1
1.966064083E0,7.454147458E-2,-1.122571850E-1,-4.513430679E-1
1.976058083E0,-1.426097891E-1,-2.280402410E-1,-3.152491236E-1
1.986051083E0,-2.142779419E-1,-2.615021020E-1,-2.664166868E-2
1.996044083E0,-1.225792748E-1,-1.175535929E-1,2.926601601E-1
2.006038083E0,-2.978717834E-2,1.798164994E-1,2.804026419E-1
2.016031083E0,1.478586884E-1,6.158416164E-1,2.200541139E-1
2.026024083E0,4.987563854E-1,8.851088208E-1,1.132459491E-1
2.036018083E0,7.657941927E-1,8.801609069E-1,-1.688939005E-1
2.046011083E0,8.611549710E-1,8.307016486E-1,-6.195768178E-1
2.056004083E0,6.752566364E-1,8.593839955E-1,-1.048485289E0
2.065998083E0,3.734040686E-1,8.271903956E-1,-1.396501624E0
2.075991083E0,2.013585189E-1,6.987077719E-1,-1.584994807E0
2.085984083E0,7.372871161E-2,5.156232637E-1,-1.520184268E0
2.095978083E0,-1.790608929E-1,3.622285777E-1,-1.257618558E0
2.105971083E0,-3.647479968E-1,2.524143595E-1,-7.957961100E-1
2.115964083E0,-3.981607412E-1,1.542577350E-1,-3.348671168E-1
2.125958083E0,-2.853106485E-1,1.498968816E-1,-2.315497398E-3
2.135951083E0,-2.535542741E-1,3.320499283E-1,3.000779378E-1
2.145944083E0,-3.031499188E-1,4.837799120E-1,3.613146579E-1
2.155938083E0,-2.478441757E-1,5.806226671E-1,2.023019671E-1
2.165931083E0,-1.943285577E-1,7.321649551E-1,-7.657572091E-2
2.175924083E0,-1.237376082E-1,9.184917444E-1,-2.682006723E-1
2.185918083E0,-5.445965096E-2,8.806093884E-1,-3.877259463E-1
2.195911083E0,-3.186732531E-2,6.834734362E-1,-4.112709296E-1
2.205905083E0,-7.653639838E-2,5.131294262E-1,-3.063180864E-1
2.215898083E0,-2.312481697E-1,4.835238039E-1,-1.713713658E-1
2.225891083E0,-4.010899039E-1,4.826613396E-1,-2.067236316E-1
2.235885083E0,-5.551929800E-1,5.354616970E-1,-2.263410401E-1
2.245878083E0,-7.157443656E-1,6.138196492E-1,-3.744966209E-2
2.255871083E0,-7.207076284E-1,6.002576172E-1,9.463718534E-2
2.265865083E0,-5.808328745E-1,4.996650428E-1,1.183698642E-1
2.275858083E0,-4.388953690E-1,4.393381494E-1,4.937038064E-2
2.285851083E0,-4.711003710E-1,5.417106164E-1,5.274071574E-2
2.295845083E0,-6.059522206E-1,7.170914179E-1,-2.916006446E-3
2.305838083E0,-7.182441965E-1,8.910735655E-1,-1.921441841E-1
2.315831083E0,-7.108049302E-1,1.176656840E0,-5.279199582E-1
2.325825083E0,-5.758587943E-1,1.384756322E0,-6.961244720E-1
2.335818083E0,-3.718897860E-1,1.371212416E0,-4.964631075E-1
2.345811083E0,-3.230153954E-1,1.217465728E0,-2.789455158E-1
2.355805083E0,-4.172846447E-1,9.766855735E-1,1.350876385E-1
2.365798083E0,-5.075761794E-1,7.436307603E-1,6.920700127E-1
2.375791083E0,-4.949727984E-1,4.662061054E-1,1.226473948E0
2.385785083E0,-3.620842977E-1,1.510335803E-2,1.609576501E0
2.395778083E0,-2.608524764E-1,-3.997706258E-1,1.903377453E0
2.405771083E0,-2.189677012E-1,-6.426493460E-1,1.915491714E0
2.415765083E0,-2.009376656E-1,-8.193428475E-1,1.785514542E0
2.425758083E0,-2.010600185E-1,-9.214469272E-1,1.516570104E0
2.435751083E0,-2.995565124E-1,-9.506391513E-1,1.332496247E0
2.445745083E0,-4.129109274E-1,-9.649578130E-1,1.257375898E0
2.455738083E0,-4.077359954E-1,-1.090040281E0,9.689432752E-1
2.465731083E0,-3.920426533E-1,-1.248041988E0,5.543318313E-1
2.475725083E0,-4.995201780E-1,-1.264673808E0,1.698317939E-1
2.485718083E0,-4.887716800E-1,-1.224518055E0,-2.062570238E-1
2.495712083E0,-4.081866695E-1,-1.286027255E0,-3.786060441E-1
2.505705083E0,-3.713321078E-1,-1.300893216E0,-4.098617506E-1
2.515698083E0,-4.412526740E-1,-1.187138559E0,-4.138694322E-1
2.525692083E0,-5.437574342E-1,-1.007914383E0,-3.425819331E-1
2.535685083E0,-5.484618115E-1,-9.626276976E-1,-7.641726136E-2
2.545678083E0,-4.253233968E-1,-1.019708217E0,3.107210398E-1
2.555672083E0,-1.887726796E-1,-1.136848996E0,5.328649485E-1
2.565665083E0,1.526664153E-2,-1.177976557E0,5.602848816E-1
2.575658083E0,8.519451678E-2,-1.106256949E0,5.543330008E-1
2.585652083E0,1.150378284E-1,-9.770492703E-1,4.993048543E-1
